name,calories,total_fat,saturated_fat,polyunsaturated_fatty_acids,protein,carbohydrate,sugars,lactose,fiber,calcium,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_a,vitamin_b12,vitamin_b6
"Acerola juice, raw",23.0,0.3,0.1,0.09,0.4,4.8,4.5,0.0,0.3,10.0,0.0,0.18,1.4,1600.0,509.0,0.0,0.004
"Acerola, raw",32.0,0.3,0.1,0.09,0.4,7.69,0.0,0.0,1.1,12.0,0.0,0.0,0.0,1677.6,767.0,0.0,0.009
Acorn stew (Apache),95.0,3.5,1.3,0.297,6.81,9.22,0.34,0.0,0.7,14.0,0.0,0.3,0.0,0.0,0.0,0.68,0.055
"Agave, cooked (Southwest)",135.0,0.3,0.0,0.0,0.99,32.0,20.87,0.0,10.6,460.0,0.0,0.36,4.9,0.3,113.0,0.0,0.087
"Agave, dried (Southwest)",341.0,0.7,0.0,0.0,1.71,81.98,50.7,0.0,15.6,770.0,0.0,0.76,0.5,0.3,18.0,0.0,0.216
"Agave, raw (Southwest)",68.0,0.2,0.0,0.0,0.52,16.23,2.58,0.0,6.6,417.0,0.0,0.23,5.3,4.0,37.0,0.0,0.055
"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",470.0,44.0,8.6,17.3,9.0,10.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,257.0,0.0,0.0
"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",353.0,32.0,7.7,8.4,3.4,13.4,0.0,0.0,0.5,8.0,0.0,2.36,0.0,2.9,696.0,0.0,0.01
"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",258.0,19.0,5.1,3.6,21.7,0.9,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.2,559.0,4.83,0.23
"Alcoholic Beverage, Barbera",85.0,0.0,0.0,0.0,0.07,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Burgundy",86.0,0.0,0.0,0.0,0.07,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Cabernet Franc",83.0,0.0,0.0,0.0,0.07,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Cabernet Sauvignon",83.0,0.0,0.0,0.0,0.07,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Carignane",74.0,0.0,0.0,0.0,0.07,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Claret",83.0,0.0,0.0,0.0,0.07,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Gamay",78.0,0.0,0.0,0.0,0.07,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Lemberger",80.0,0.0,0.0,0.0,0.07,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Merlot",83.0,0.0,0.0,0.0,0.07,2.51,0.62,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057
"Alcoholic Beverage, Mouvedre",88.0,0.0,0.0,0.0,0.07,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Petite Sirah",85.0,0.0,0.0,0.0,0.07,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Pinot Noir",82.0,0.0,0.0,0.0,0.07,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic Beverage, Sangiovese",86.0,0.0,0.0,0.0,0.07,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
