name,calories,total_fat,saturated_fat,polyunsaturated_fatty_acids,protein,carbohydrate,sugars,lactose,fiber,calcium,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_a,vitamin_b12,vitamin_b6
"CHICK-FIL-A, Chick-n-Strips",228.0,11.0,2.1,2.409,21.4,10.39,1.24,0.0,0.9,25.0,0.0,1.56,0.0,1.0,0.0,0.19,0.476
"CHICK-FIL-A, chicken sandwich",249.0,11.0,2.1,3.177,16.28,20.89,3.64,0.0,1.4,58.0,0.0,0.0,0.0,0.0,0.0,0.13,0.383
"CHICK-FIL-A, hash browns",301.0,19.0,2.8,3.887,3.0,30.51,0.54,0.0,3.2,22.0,0.0,3.0,0.0,6.2,5.0,0.0,0.23
"CONTINENTAL MILLS, dry",418.0,10.0,2.1,0.0,5.6,75.6,40.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CRACKER BARREL, coleslaw",175.0,13.0,2.0,7.458,0.89,13.01,11.07,0.0,1.6,34.0,0.0,0.97,88.1,14.2,777.0,0.0,0.125
"CRACKER BARREL, country fried shrimp platter",287.0,17.0,3.1,8.519,12.62,21.4,0.0,0.0,0.3,43.0,0.0,1.88,0.0,0.0,5.0,0.69,0.066
"CRACKER BARREL, farm raised catfish platter",266.0,17.0,3.2,7.612,22.94,5.31,0.0,0.0,1.6,43.0,0.0,0.0,24.7,0.0,0.0,3.1,0.182
"CRACKER BARREL, fried",293.0,15.0,2.8,7.891,18.06,20.29,0.09,0.0,0.7,12.0,0.0,1.21,0.0,0.0,11.0,0.11,0.487
"CRACKER BARREL, from kid's menu",243.0,13.5,3.5,6.0335,12.565000000000001,17.91,1.51,1.35,0.85,79.0,0.0,1.01,21.599999999999998,0.0,132.0,0.14,0.249
"CRACKER BARREL, grilled sirloin steak",203.0,8.5,3.0,0.742,31.52,0.0,0.0,0.0,0.0,7.0,0.0,0.46,1.0,0.0,23.0,3.0,0.691
"CRACKER BARREL, macaroni n' cheese",194.0,12.0,4.2,3.941,6.49,15.61,2.83,2.7,1.1,145.0,0.0,0.73,0.0,0.0,230.0,0.19,0.06
"CRACKER BARREL, steak fries",255.0,13.0,2.4,6.833,3.26,30.87,0.86,0.0,3.5,19.0,0.0,1.34,32.1,0.9,0.0,0.0,0.236
"CRACKER BARREL, thick-cut",327.0,16.0,2.9,8.675,4.78,40.95,4.82,0.0,2.2,19.0,0.0,1.31,36.1,0.0,41.0,0.0,0.084
"CRUNCHMASTER, Gluten-Free",456.0,16.0,2.1,5.981,10.91,67.18,0.8,0.0,7.5,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
"Cabbage, cooked",12.0,0.2,0.0,0.0,1.1,2.23,0.0,0.0,0.0,29.0,0.0,0.0,0.0,3.2,263.0,0.0,0.037
"Cabbage, kimchi",15.0,0.5,0.1,0.241,1.1,2.4,1.06,0.0,1.6,33.0,0.0,0.11,43.6,0.0,93.0,0.0,0.213
"Cabbage, pickled",30.0,0.1,0.0,0.048,1.6,5.67,1.3,0.0,3.1,48.0,0.0,0.12,125.9,0.7,189.0,0.0,0.1
"Cabbage, raw",22.857142857142858,0.17142857142857146,0.0,0.06971428571428571,1.4042857142857144,5.0600000000000005,1.6985714285714286,0.0,2.0714285714285716,56.57142857142857,0.0,0.09142857142857143,38.771428571428565,41.371428571428574,1036.0,0.0,0.16271428571428573
"Cabbage, salted",28.0,0.1,0.0,0.048,1.1,5.63,1.4,0.0,3.1,67.0,0.0,0.02,115.6,0.0,971.0,0.0,0.3
"Cabbage, with salt",20.4,0.14,0.0,0.0494,1.528,4.41,1.388,0.0,2.0,49.0,0.0,0.06999999999999999,38.06,21.419999999999998,1243.6,0.0,0.1664
"Cabbage, without salt",20.4,0.14,0.0,0.0494,1.528,4.41,1.388,0.0,2.0,49.0,0.0,0.06999999999999999,38.06,26.139999999999997,1243.6,0.0,0.1664
"Cake, butter (includes fresh and frozen)",353.0,14.0,4.8,3.419,5.0,53.64,33.36,1.27,0.6,47.0,34.0,0.65,1.7,0.0,241.0,0.36,0.036
"Cake, cherry fudge with chocolate frosting",264.0,13.0,5.1,2.34,2.4,38.0,32.94,0.0,0.5,48.0,14.0,0.75,2.4,13.6,448.0,0.21,0.06
"Cake, chocolate with frosting",399.0,16.0,4.9,1.822,3.63,60.31,37.76,0.0,3.2,116.0,0.0,1.09,10.6,1.9,2.0,0.06,0.143
"Cake, commercially prepared",281.0,5.275,1.075,1.28675,4.15,55.825,25.0475,0.0,1.775,66.5,3.5,0.3225,1.2,0.175,64.5,0.1175,0.03875
"Cake, dry mix",404.5,8.1,1.9416666666666667,1.86575,4.389166666666667,80.57166666666667,30.147499999999997,0.0,1.2666666666666666,132.25,0.0,0.29583333333333334,2.066666666666667,0.14166666666666666,162.91666666666666,0.08583333333333333,0.03766666666666667
"Cake, enriched",389.0,18.0,4.6,2.251,5.2,52.5,0.0,0.0,1.0,64.0,0.0,0.0,0.0,0.1,118.0,0.14,0.023
"Cake, fat-free",283.0,1.2,0.3,0.424,5.4,61.0,34.34,0.0,1.1,43.0,0.0,0.01,0.1,0.0,95.0,0.0,0.012
"Cake, home baked style",418.0,22.0,0.0,0.0,6.62,48.94,28.77,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
"Cake, in-store bakery",384.0,19.0,5.85,4.675,3.3200000000000003,54.1,39.59,0.525,1.85,31.0,3.0,4.415,27.0,0.05,14.0,0.0,0.0
"Cake, prepared",257.0,0.3,0.0,0.124,6.1,58.7,30.51,0.0,0.2,84.0,0.0,0.01,0.1,0.0,0.0,0.03,0.006
"Cake, prepared from recipe",329.5,11.575,3.025,2.94475,5.199999999999999,51.475,0.0,0.0,0.2,109.5,0.0,0.0,0.0,0.375,157.75,0.145,0.07825
"Cake, prepared from recipe with coconut frosting",356.0,10.0,3.9,2.162,4.4,63.2,57.39,0.0,1.0,90.0,8.0,0.12,4.1,0.1,42.0,0.06,0.029
"Cake, prepared from recipe without frosting",363.0,14.0,4.2,3.1596666666666664,5.333333333333333,54.53333333333333,11.83,0.0,1.0333333333333334,112.0,0.0,0.04,1.7,0.20000000000000004,110.33333333333333,0.13333333333333333,0.03266666666666667
"Cake, special dietary (includes lemon-flavored)",397.0,8.4,1.3,3.183,3.0,79.6,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018
"Cake, sponge",374.0,12.0,4.1,1.86,3.47,64.03,37.3,0.0,1.0,24.0,4.0,0.62,9.7,0.1,17.0,0.19,0.0
"Cake, unenriched",389.0,18.0,4.6,2.251,5.2,52.5,0.0,0.0,1.0,64.0,0.0,0.0,0.0,0.1,118.0,0.14,0.023
"Cake, with added fiber",410.5,12.0,4.65,3.1064999999999996,3.71,71.83500000000001,31.565,0.0,14.9,186.0,9.0,1.095,6.9,0.0,9.0,0.2,0.047
"Cake, with vanilla frosting",391.0,18.0,2.9,6.378,2.99,56.2,41.79,0.0,0.3,62.0,16.0,1.19,6.9,0.0,108.0,0.15,0.043
Campbell's Brown Sugar And Bacon Flavored Baked Beans,123.0,1.9,0.4,0.0,3.85,23.08,10.0,0.0,6.2,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campbell's Pork and Beans,108.0,1.2,0.4,0.0,4.62,19.23,6.15,0.0,5.4,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Canada Goose, raw",133.0,4.0,0.6,0.347,24.31,0.0,0.0,0.0,0.0,4.0,0.0,0.57,0.0,0.0,38.0,4.1,1.077
"Canadian bacon, pan-fried",146.0,2.8,1.0,0.485,28.31,1.8,1.2,0.0,0.0,7.0,9.0,0.41,0.2,0.0,0.0,0.43,0.28
"Canadian bacon, unprepared",110.0,2.6,0.9,0.467,20.31,1.34,0.9,0.0,0.0,6.0,6.0,0.22,0.0,0.0,0.0,0.37,0.241
Candied fruit,322.0,0.1,0.0,0.02,0.34,82.74,80.68,0.0,1.6,18.0,0.0,0.04,0.3,0.0,19.0,0.0,0.0
"Candies, 100 GRAND Bar",468.0,19.0,12.0,1.388,2.5,70.97,51.9,0.0,1.0,76.0,0.0,0.42,6.2,0.7,127.0,0.29,0.016
"Candies, 3 MUSKETEERS Bar",436.0,13.0,8.6,0.316,2.6,77.77,66.89,0.0,1.5,54.0,0.0,0.98,2.9,0.2,67.0,0.16,0.015
"Candies, 5TH AVENUE Candy Bar",482.0,24.0,6.7,3.39,8.78,62.68,47.19,0.0,3.1,73.0,0.0,2.7,2.7,0.4,51.0,0.18,0.11
"Candies, AFTER EIGHT Mints",432.0,12.0,8.3,0.0,1.67,79.53,66.6,0.0,2.4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candies, ALMOND JOY BITES",563.0,35.0,21.0,1.46,5.58,57.54,51.71,0.0,4.3,109.0,0.0,0.0,0.0,1.0,117.0,0.0,0.06
"Candies, ALMOND JOY Candy Bar",479.0,27.0,18.0,1.18,4.13,59.51,48.34,0.0,5.0,64.0,0.0,0.0,0.0,0.7,42.0,0.0,0.0
"Candies, BABY RUTH Bar",459.0,22.0,12.0,2.638,5.4,64.8,54.0,0.0,2.0,47.0,0.0,0.93,2.3,0.0,0.0,0.06,0.042
"Candies, BIT-O'-HONEY Candy Chews",375.0,7.5,5.5,0.338,2.0,80.89,48.0,0.0,0.2,35.0,0.0,0.3,0.0,0.8,0.0,0.06,0.009
"Candies, BUTTERFINGER Bar",459.0,19.0,9.5,3.164,5.4,72.9,45.9,0.0,2.0,36.0,0.0,1.72,2.2,0.0,0.0,0.04,0.069
"Candies, BUTTERFINGER Crisp",465.0,18.0,11.0,2.17,6.67,68.45,48.33,0.0,1.7,33.0,0.0,1.31,3.2,0.1,1.0,0.05,0.146
"Candies, CARAMELLO Candy Bar",462.0,21.0,13.0,0.63,6.19,63.81,56.92,0.0,1.2,213.0,0.0,0.0,0.0,1.7,303.0,0.0,0.0
"Candies, CHUNKY Bar",475.0,28.0,13.0,0.0,7.5,60.0,52.5,0.0,2.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candies, COCOAVIA Blueberry and Almond Chocolate Bar",525.0,29.0,13.0,0.0,6.35,60.37,38.99,0.0,9.1,985.0,0.0,9.2,0.0,34.2,25.0,2.73,1.364
"Candies, COCOAVIA Chocolate Bar",539.0,29.0,16.0,0.0,5.81,62.99,39.19,0.0,8.7,1164.0,0.0,12.27,0.0,42.6,31.0,4.09,1.364
"Candies, COCOAVIA Chocolate Covered Almonds",573.0,37.0,12.0,0.0,9.51,50.22,26.92,0.0,10.4,840.0,0.0,4.82,0.0,27.3,20.0,2.14,0.714
"Candies, COCOAVIA Crispy Chocolate Bar",517.0,26.0,14.0,0.0,8.21,62.06,34.96,0.0,7.8,1070.0,0.0,10.13,0.0,37.9,27.0,3.0,1.5
"Candies, CRUNCH Bar and Dessert Topping",500.0,26.0,16.0,0.0,5.0,67.0,55.0,0.0,1.9,100.0,0.0,0.0,0.0,0.5,107.0,0.0,0.0
"Candies, DOVE Dark Chocolate",520.0,32.0,19.0,0.0,5.19,59.4,46.27,0.0,7.6,37.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0
"Candies, DOVE Milk Chocolate",546.0,32.0,19.0,0.0,5.94,59.78,55.45,0.0,2.4,160.0,0.0,0.0,0.0,0.8,292.0,0.0,0.0
"Candies, Fruit and Creme",408.0,8.4,7.9,0.0,0.41,82.43,57.98,0.0,0.0,0.0,0.0,0.0,0.0,58.3,0.0,0.0,0.0
"Candies, GOOBERS Chocolate Covered Peanuts",512.0,34.0,12.0,0.0,9.7,53.0,43.0,0.0,9.7,89.0,0.0,0.0,0.0,0.3,68.0,0.0,0.0
"Candies, HEATH BITES",530.0,30.0,16.0,2.55,3.94,63.39,60.02,0.0,2.0,86.0,0.0,0.0,0.0,0.8,232.0,0.0,0.0
"Candies, HERSHEY'S GOLDEN ALMOND SOLITAIRES",569.0,37.0,15.0,0.0,11.97,46.85,37.13,0.0,4.4,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES",568.0,36.0,17.0,2.42,9.76,51.72,44.59,0.0,3.6,0.0,0.0,0.0,0.0,1.8,177.0,0.0,0.07
"Candies, HERSHEY'S POT OF GOLD Almond Bar",577.0,38.0,17.0,0.0,12.82,44.89,38.46,0.0,3.8,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candies, HERSHEY'S SKOR Toffee Bar",541.0,30.0,19.0,1.191,3.13,63.73,59.89,0.0,1.3,30.0,3.0,0.58,8.6,0.5,204.0,0.21,0.022
"Candies, KIT KAT BIG KAT Bar",520.0,28.0,18.0,0.51,6.24,63.64,53.96,0.0,1.9,138.0,0.0,0.0,0.0,1.3,92.0,0.0,0.0
"Candies, KIT KAT Wafer Bar",518.0,26.0,18.0,0.895,6.51,64.59,48.68,8.21,1.0,125.0,0.0,0.34,5.2,0.0,81.0,0.56,0.02
"Candies, KRACKEL Chocolate Bar",512.0,27.0,16.0,0.57,6.62,63.96,52.53,0.0,2.2,158.0,0.0,0.0,0.0,0.8,102.0,0.0,0.04
"Candies, M&M MARS 3 MUSKETEERS Truffle Crisp",538.0,29.0,19.0,1.091,6.41,63.15,57.69,0.0,0.0,150.0,0.0,0.6,5.8,0.0,155.0,0.6,0.028
"Candies, M&M MARS Pretzel Chocolate Candies",447.0,15.0,9.0,1.014,5.0,72.94,50.0,0.0,2.5,50.0,0.0,0.37,4.7,0.0,116.0,0.45,0.032
"Candies, M&M's Almond Chocolate Candies",522.0,28.0,9.4,3.753,7.53,60.5,49.22,0.0,5.6,155.0,0.0,9.52,2.0,0.6,80.0,0.22,0.055
"Candies, M&M's Crispy Chocolate Candies",475.0,19.0,12.0,0.0,4.28,72.4,58.94,0.0,2.0,90.0,0.0,0.0,0.0,0.5,167.0,0.0,0.0
"Candies, M&M's MINIs Milk Chocolate Candies",502.0,23.0,14.0,0.0,4.78,68.4,62.54,0.0,2.7,116.0,0.0,0.0,0.0,0.6,224.0,0.0,0.0
"Candies, M&M's Milk Chocolate Candies",492.0,21.0,13.0,0.921,4.33,71.19,63.68,0.0,2.8,105.0,0.0,0.36,4.0,0.5,187.0,0.53,0.025
"Candies, M&M's Peanut Butter Chocolate Candies",529.0,29.0,18.0,0.542,10.16,56.89,47.15,0.0,4.0,88.0,0.0,1.26,5.9,0.5,92.0,0.19,0.095
"Candies, M&M's Peanut Chocolate Candies",515.0,26.0,10.0,3.456,9.57,60.48,50.75,0.0,3.7,102.0,0.0,2.85,3.0,0.0,74.0,0.32,0.09
"Candies, MARS Almond Bar",467.0,23.0,7.3,3.98,8.1,62.7,52.1,0.0,2.0,168.0,0.0,7.75,10.9,0.7,51.0,0.36,0.06
"Candies, MILKY WAY Bar",456.0,17.0,12.0,0.26,4.01,71.17,59.69,0.0,1.0,115.0,16.0,0.89,3.6,0.7,110.0,0.18,0.014
"Candies, MILKY WAY Caramels. dark chocolate covered",458.0,20.0,14.0,0.0,3.82,67.56,54.08,0.0,2.8,83.0,0.0,0.0,0.0,0.4,246.0,0.0,0.0
"Candies, MILKY WAY Midnight Bar",443.0,18.0,11.0,0.514,3.2,71.22,57.81,0.0,2.9,53.0,0.0,0.39,3.5,0.2,155.0,0.04,0.02
"Candies, MOUNDS Candy Bar",486.0,27.0,21.0,0.14,4.6,58.59,46.19,0.0,3.7,21.0,0.0,0.19,1.6,0.4,0.0,0.0,0.09
"Candies, MR. GOODBAR Chocolate Bar",538.0,33.0,14.0,4.366,10.22,54.34,47.22,0.0,3.8,110.0,0.0,3.17,3.6,0.9,125.0,0.33,0.07
"Candies, NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)",550.0,32.0,19.0,1.107,5.09,59.97,46.14,1.5,7.2,57.0,0.0,0.55,8.0,0.0,49.0,0.23,0.041
"Candies, OH HENRY! Bar",462.0,23.0,9.6,2.706,7.7,65.5,46.2,0.0,1.9,69.0,0.0,2.21,1.2,0.0,0.0,0.2,0.086
"Candies, Original fruits",408.0,8.2,7.8,0.0,0.41,82.57,58.12,0.0,0.0,0.0,0.0,0.33,2.1,58.7,1.0,0.0,0.0
"Candies, PAYDAY Bar",490.0,25.0,4.8,4.691,13.44,52.88,40.32,0.0,3.8,94.0,0.0,2.47,0.0,0.0,1.0,0.02,0.235
"Candies, POP'ABLES 3 MUSKETEERS Brand Bite Size Candies",443.0,15.0,9.9,0.0,2.59,75.94,67.0,0.0,1.3,60.0,0.0,0.0,0.0,0.4,99.0,0.0,0.0
"Candies, POP'ABLES MILKY WAY Brand Bite Size Candies",463.0,18.0,8.9,0.0,3.3,71.85,61.08,0.0,1.0,91.0,0.0,0.0,0.0,0.6,137.0,0.0,0.0
"Candies, POP'ABLES SNICKERS Brand Bite Size Candies",480.0,24.0,9.9,0.0,7.15,61.07,51.69,0.0,2.3,96.0,0.0,0.0,0.0,0.5,174.0,0.0,0.0
"Candies, RAISINETS Chocolate Covered Raisins",422.0,17.0,11.0,0.0,4.4,71.0,59.0,0.0,2.2,85.0,0.0,0.0,0.0,1.6,77.0,0.0,0.0
"Candies, REESE'S BITES",521.0,30.0,18.0,1.82,11.34,55.18,48.03,0.0,3.1,112.0,0.0,0.0,0.0,0.8,60.0,0.0,0.1
"Candies, REESE'S NUTRAGEOUS Candy Bar",517.0,32.0,8.9,8.09,11.28,52.8,40.22,0.0,3.9,68.0,0.0,0.0,0.0,0.5,36.0,0.0,0.1
"Candies, REESE'S PIECES Candy",497.0,25.0,16.0,1.88,12.46,59.86,53.25,0.0,3.0,69.0,0.0,0.99,5.9,0.0,0.0,0.11,0.11
"Candies, REESE'S Peanut Butter Cups",515.0,31.0,11.0,5.5,10.24,55.36,47.17,0.0,3.6,78.0,0.0,0.15,2.0,0.3,56.0,0.26,0.1
"Candies, ROLO Caramels in Milk Chocolate",474.0,21.0,15.0,0.265,5.08,67.95,63.93,0.0,0.9,145.0,0.0,1.1,3.2,0.9,121.0,0.33,0.0
"Candies, SKITTLES Original Bite Size Candies",405.0,4.4,4.1,0.0,0.19,90.78,75.84,0.0,0.0,0.0,0.0,0.17,1.1,66.8,0.0,0.0,0.003
"Candies, SKITTLES Sours Original",401.0,4.0,3.8,0.0,0.18,91.02,73.16,0.0,0.0,0.0,0.0,0.0,0.0,61.1,0.0,0.0,0.0
"Candies, SKITTLES Tropical Bite Size Candies",405.0,4.3,0.0,0.0,0.19,90.77,75.76,0.0,0.0,0.0,0.0,0.0,0.0,67.1,0.0,0.0,0.0
"Candies, SKITTLES Wild Berry Bite Size Candies",402.0,4.3,4.1,0.0,0.19,90.76,75.92,0.0,0.0,0.0,0.0,0.0,0.0,67.1,0.0,0.0,0.0
"Candies, SNICKERS Almond bar",472.0,22.0,8.5,0.0,5.4,64.67,53.93,0.0,2.6,132.0,0.0,0.0,0.0,0.7,166.0,0.0,0.0
"Candies, SNICKERS Bar",491.0,24.0,9.1,3.014,7.53,61.51,50.47,0.0,2.3,93.0,0.0,1.5,1.9,0.5,161.0,0.16,0.09
"Candies, SNICKERS CRUNCHER",488.0,24.0,13.0,0.0,6.86,62.85,46.54,0.0,1.9,90.0,0.0,0.0,0.0,0.5,120.0,0.0,0.0
"Candies, SNICKERS MUNCH bar",536.0,36.0,8.8,0.0,15.25,43.64,30.87,0.0,4.7,54.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0
"Candies, SPECIAL DARK Chocolate Bar",556.0,32.0,0.0,0.44,5.54,60.49,47.56,0.0,6.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candies, STARBURST Sour Fruit Chews",400.0,7.8,7.5,0.0,0.39,79.73,56.1,0.0,0.0,0.0,0.0,0.0,0.0,56.6,0.0,0.0,0.0
"Candies, SYMPHONY Milk Chocolate Bar",531.0,31.0,18.0,0.69,8.51,58.01,53.96,0.0,1.7,251.0,0.0,0.0,0.0,2.2,229.0,0.0,0.0
"Candies, TWIX Caramel Cookie Bars",502.0,25.0,19.0,0.628,4.91,64.8,48.25,0.0,1.1,106.0,0.0,0.74,5.6,0.6,67.0,0.33,0.025
"Candies, TWIX Peanut Butter Cookie Bars",536.0,33.0,16.0,3.407,9.18,54.15,36.13,0.0,3.1,75.0,0.0,3.42,6.0,0.3,68.0,0.26,0.114
"Candies, TWIX chocolate fudge cookie bars",550.0,33.0,5.0,12.521,7.3,56.0,53.0,0.0,3.0,130.0,0.0,2.71,18.6,1.0,32.0,0.33,0.04
"Candies, TWIZZLERS CHERRY BITES",338.0,1.7,0.3,0.04,2.97,79.38,0.0,0.0,0.1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candies, TWIZZLERS NIBS CHERRY BITS",347.0,2.6,0.5,0.14,2.3,79.37,51.35,0.0,0.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candies, TWIZZLERS Strawberry Twists Candy",348.0,2.3,0.0,0.0,2.56,79.16,39.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candies, Tamarind",368.0,0.0,0.0,0.0,0.0,91.96,78.57,0.0,2.5,0.0,0.0,0.05,1.4,0.0,15.0,0.0,0.032
"Candies, Tropical fruits",409.0,8.3,8.0,0.0,0.41,82.76,58.18,0.0,0.0,0.0,0.0,0.0,0.0,59.4,0.0,0.0,0.0
"Candies, WHATCHAMACALLIT Candy Bar",494.0,24.0,17.0,0.83,8.04,63.23,48.86,0.0,1.9,118.0,0.0,1.27,4.3,0.9,134.0,0.37,0.04
"Candies, YORK BITES",394.0,7.3,4.4,0.1,1.78,81.64,75.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
"Candies, YORK Peppermint Pattie",384.0,7.2,4.3,0.11,2.19,80.99,63.78,0.0,2.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
"Candies, butterscotch",465.0,16.15,13.05,0.5814999999999999,1.115,78.75,73.78,0.0,0.0,19.0,0.0,0.385,3.4,0.05,50.5,0.05,0.008
"Candies, candy bar",495.0,23.0,8.0,4.241,8.93,63.9,53.57,0.0,3.6,36.0,0.0,2.56,1.8,0.0,49.0,0.18,0.061
"Candies, caramel with nuts",470.0,21.0,4.7,5.834,9.5,60.67,41.35,0.0,4.3,78.0,0.0,1.1,3.2,1.4,149.0,0.0,0.16
"Candies, caramels",382.0,8.1,2.5,3.478,4.6,77.0,65.5,0.0,0.0,138.0,0.0,0.46,1.8,0.4,42.0,0.3,0.056
"Candies, chocolate-flavor roll",387.0,3.3,1.0,0.266,1.59,87.73,56.32,1.09,0.1,36.0,0.0,0.65,9.6,0.0,0.0,0.0,0.01
"Candies, crispy bar with peanut butter filling",542.0,31.0,13.0,4.68,9.53,55.53,40.33,0.0,3.3,70.0,0.0,2.77,5.9,0.6,58.0,0.15,0.08
"Candies, dark chocolate coated coffee beans",540.0,30.0,15.0,0.0,7.5,59.95,42.5,0.0,7.5,100.0,0.0,0.23,5.9,0.0,0.0,0.0,0.038
"Candies, dietetic or low calorie (sorbitol)",394.0,0.0,0.0,0.0,0.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candies, hard",394.0,0.2,0.0,0.0,0.0,98.0,62.9,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
"Candies, jellybeans",375.0,0.1,0.0,0.0,0.0,93.55,70.0,0.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
"Candies, low sugar or low calorie",590.0,43.0,22.0,4.349,12.39,37.68,14.63,0.0,3.5,285.0,3.0,2.61,7.5,1.4,204.0,0.85,0.18
"Candies, made with butter",477.0,30.0,18.0,0.95,4.2,63.4,0.0,0.0,5.9,32.0,0.0,0.0,0.0,0.0,60.0,0.0,0.05
"Candies, marshmallows",318.0,0.2,0.1,0.047,1.8,81.3,57.56,0.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
"Candies, milk chocolate",528.0,30.5,16.0,3.0279999999999996,8.59,57.39,45.915,0.0,3.3499999999999996,129.5,0.0,1.6400000000000001,5.800000000000001,0.3,126.5,0.45,0.057999999999999996
"Candies, milk chocolate coated coffee beans",549.0,33.0,18.0,1.31,7.41,55.25,50.75,0.0,5.7,169.0,0.0,0.44,5.4,0.0,168.0,0.65,0.031
"Candies, milk chocolate coated peanuts",519.0,34.0,15.0,4.33,13.1,49.7,37.59,0.0,4.7,104.0,0.0,2.4,4.0,0.0,131.0,0.53,0.1
"Candies, milk chocolate coated raisins",390.0,15.0,10.0,0.571,4.1,68.4,62.22,0.0,3.1,86.0,0.0,0.29,3.9,0.2,91.0,0.37,0.074
"Candies, milk chocolate covered",463.0,19.0,13.0,0.0,4.28,68.49,58.65,0.0,0.7,141.0,0.0,0.0,0.0,0.7,262.0,0.0,0.0
"Candies, milk chocolate peanut butter and soft nougats",474.0,23.0,8.2,4.33,8.66,61.6,53.08,0.0,2.9,61.0,0.0,0.0,0.0,0.4,40.0,0.0,0.07
"Candies, milk chocolate with honey and almond nougat",525.0,29.0,17.0,3.234,5.71,61.21,55.74,0.0,2.5,126.0,0.0,1.77,19.4,0.0,122.0,0.47,0.027
"Candies, no sugar or low calorie (sorbitol)",354.0,0.2,0.0,0.064,0.0,88.1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candies, not chocolate covered",481.0,28.0,26.0,0.084,2.13,55.87,36.16,0.0,6.4,43.0,0.0,0.2,0.1,2.7,0.0,0.0,0.045
"Candies, peanut bar",522.0,34.0,4.7,10.65,15.5,47.4,42.22,0.0,4.1,78.0,0.0,4.1,0.0,0.0,0.0,0.0,0.153
"Candies, peanut butter",529.0,30.0,13.0,2.053,18.3,46.88,38.3,0.0,5.0,110.0,0.0,1.36,7.3,0.3,1.0,0.2,0.17
"Candies, plain",469.0,22.0,4.1,8.481,12.49,60.49,0.0,0.0,4.5,33.0,0.0,0.0,0.0,0.1,2.0,0.04,0.348
"Candies, prepared-by-recipe",474.0,21.0,10.0,4.081,3.24,67.69,0.0,0.0,2.1,49.0,0.0,0.59,2.4,0.3,228.0,0.03,0.054
"Candies, prepared-from-recipe",439.1666666666667,14.458333333333334,6.358333333333333,2.085,2.78,74.1525,66.57666666666667,0.0,1.2583333333333333,42.333333333333336,0.0,0.6516666666666667,1.3916666666666666,0.08333333333333333,224.83333333333334,0.08666666666666667,0.0325
"Candies, semisweet chocolate",480.0,30.0,18.0,0.966,4.2,63.9,54.5,0.0,5.9,32.0,0.0,0.26,5.6,0.0,0.0,0.0,0.035
"Candies, sesame crunch",516.0,33.0,4.7,14.591,11.6,50.3,31.17,0.0,7.7,639.0,0.0,0.16,0.0,0.0,6.0,0.0,0.491
"Candies, soft fruit and nut squares",390.0,9.5,0.9,6.84,2.31,73.81,45.95,0.0,2.4,17.0,0.0,0.1,0.4,0.2,3.0,0.0,0.082
"Candies, starch jelly pieces",396.0,0.0,0.0,0.0,0.0,98.9,58.97,0.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
"Candies, sugar-coated almonds",474.0,18.0,1.9,3.904,10.0,68.26,62.5,0.0,2.5,100.0,0.0,12.36,0.0,0.0,3.0,0.0,0.06
"Candies, sweet chocolate",507.0,34.0,20.0,0.99,3.9,60.4,51.48,0.0,5.5,24.0,0.0,0.26,6.3,0.0,0.0,0.0,0.043
"Candies, sweet chocolate coated fondant",366.0,9.3,5.5,0.3,2.2,80.4,71.42,0.0,2.1,17.0,0.0,0.13,2.1,0.0,0.0,0.0,0.01
"Candies, unsweetened",540.0,31.0,29.0,0.295,8.15,56.29,34.11,0.0,3.8,303.0,0.0,1.57,7.7,0.5,10.0,0.28,0.13
