name,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,calories,total_fat,saturated_fat,polyunsaturated_fatty_acids,monounsaturated_fatty_acids,protein,carbohydrate,sugars,lactose,fiber,calcium,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_a,vitamin_b12,vitamin_b6,vitamin_b5
Dessert (aliment moyen),0.0,0.0,0.0,0.0,12.9,5.18,1.68,4.74,4.63,36.6,23.7,1.89,1.54,75.0,0.27,1.97,0.0,1.37,56.3,0.21,0.056,0.4
"Salade de thon et légumes, appertisée",entrées et plats composés,salades composées et crudités,0.0,0.0,4.7,0.56,1.76,1.83,9.15,7.74,3.08,0.0,2.7,20.7,0.5,1.6,0.0,2.75,2.0,1.45,0.29,0.16
"Salade composée avec viande ou poisson, appertisée",entrées et plats composés,salades composées et crudités,0.0,0.0,5.3,0.16,1.54,3.27,8.06,6.4,1.9,0.2,2.0,22.0,0.44,2.04,9.75,0.0,21.0,1.23,0.12,0.2
"Champignons à la grecque, appertisés",entrées et plats composés,salades composées et crudités,0.0,0.0,3.55,0.23,1.67,0.2,2.08,3.95,2.38,0.3,2.35,27.0,0.0,1.08,0.0,6.67,0.0,0.018,0.088,0.88
"Salade de pommes de terre, fait maison",entrées et plats composés,salades composées et crudités,0.0,0.0,8.2,1.43,3.74,2.48,2.68,9.9,0.0,0.0,1.3,19.0,0.0,0.0,0.0,10.0,29.0,0.0,0.14,0.53
"Taboulé ou Salade de couscous, préemballé",entrées et plats composés,salades composées et crudités,0.0,179.0,6.7,0.67,1.45,4.23,4.88,23.7,4.9,0.2,2.5,24.0,0.0,1.26,10.6,6.27,0.0,0.0,0.052,0.26
"Salade de pomme de terre à la piémontaise, préemballée",entrées et plats composés,salades composées et crudités,0.0,130.0,8.3,0.82,2.04,5.02,4.5,8.87,1.2,0.2,0.5,13.0,0.5,3.96,10.9,21.6,21.0,0.0,0.099,0.44
"Salade de riz, appertisée",entrées et plats composés,salades composées et crudités,0.0,0.0,4.35,0.53,0.0,2.23,5.13,16.1,1.0,0.0,1.7,23.3,0.5,1.63,0.0,4.48,2.0,0.43,0.13,0.14
"Salade de pâtes, végétarienne",entrées et plats composés,salades composées et crudités,0.0,0.0,8.1,2.37,3.92,1.46,5.7,13.7,2.3,0.0,1.7,14.0,0.0,1.95,0.0,21.0,7.0,0.0,0.09,0.0
"Crudité, sans assaisonnement (aliment moyen)",entrées et plats composés,salades composées et crudités,0.0,29.9,0.7,0.12,0.095,0.29,0.94,3.07,2.27,0.085,1.51,25.1,0.093,0.34,24.0,12.2,0.017,0.0,0.082,0.17
"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",entrées et plats composés,salades composées et crudités,0.0,0.0,9.94,1.74,1.91,5.85,5.19,14.0,2.16,0.0,1.98,19.0,0.12,1.18,0.0,12.3,11.0,0.14,0.14,0.28
"Macédoine de légumes en salade, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,0.0,0.0,9.3,0.7,0.0,0.0,2.81,7.0,2.3,0.3,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",entrées et plats composés,salades composées et crudités,0.0,0.0,10.0,2.36,2.09,4.99,8.13,4.88,1.71,0.2,2.0,100.0,0.25,2.24,32.0,1.11,27.9,0.48,0.094,0.47
"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",entrées et plats composés,salades composées et crudités,0.0,168.0,8.3,0.92,3.04,3.95,3.79,17.4,4.61,0.1,3.3,37.0,0.25,2.67,10.0,0.5,0.0,0.0,0.059,0.27
"Carottes râpées, avec sauce, préemballées",entrées et plats composés,salades composées et crudités,0.0,0.0,5.0,0.43,1.82,2.53,0.98,6.01,5.2,0.2,3.64,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Salade de betterave, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,0.0,0.0,4.94,0.37,1.9,1.79,1.29,7.45,5.3,0.051,2.66,21.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
"Salade de chou ou Coleslaw, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,0.0,105.0,8.1,0.63,2.2,4.83,0.94,5.78,4.72,0.2,3.0,39.0,0.25,2.21,23.0,21.6,0.0,0.0,0.093,0.21
"Salade de concombre à la crème/fromage blanc, préemballée",entrées et plats composés,salades composées et crudités,0.0,0.0,11.3,1.35,0.0,0.0,1.1,1.97,1.39,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Salade de lentilles et saucisse fumée, préemballée",entrées et plats composés,salades composées et crudités,0.0,0.0,11.8,0.9,0.0,0.0,7.0,8.9,0.9,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Salade grecque, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,0.0,0.0,7.1,2.7,0.0,0.0,2.0,1.4,1.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Salade de riz à la niçoise, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,0.0,0.0,6.08,0.63,0.97,2.51,4.45,15.8,1.35,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Taboulé ou Salade de couscous au poulet, préemballé",entrées et plats composés,salades composées et crudités,0.0,0.0,7.45,0.86,1.75,3.78,6.4,20.6,2.48,0.2,2.02,18.0,0.25,1.48,3.22,0.5,21.0,0.1,0.096,0.4
"Soupe aux lentilles, préemballée à réchauffer",entrées et plats composés,soupes,0.0,55.0,1.12,0.45,0.13,0.52,3.74,6.6,0.7,0.0,1.8,25.0,0.0,0.0,0.0,1.7,0.0,0.12,0.09,0.14
"Soupe à la volaille et aux légumes, préemballée à réchauffer",entrées et plats composés,soupes,0.0,30.8,0.8,0.3,0.0,0.0,3.09,2.6,1.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
"Soupe aux légumes variés, préemballée à réchauffer",entrées et plats composés,soupes,0.0,39.4,1.56,0.55,0.11,0.5,0.76,5.05,1.72,0.2,1.1,14.0,0.0,0.62,2.53,5.75,21.0,0.052,0.16,0.33
"Soupe de poissons et / ou crustacés, préemballée à réchauffer",entrées et plats composés,soupes,0.0,42.8,1.79,0.58,0.25,0.93,3.45,2.88,0.9,0.3,0.69,130.0,0.2,0.32,0.93,0.5,59.8,1.35,0.032,0.18
"Soupe aux légumes variés, déshydratée reconstituée",entrées et plats composés,soupes,0.0,34.5,1.22,0.39,0.091,0.45,0.86,4.43,1.07,0.2,1.16,21.0,0.0,0.19,2.42,3.28,21.0,0.029,0.044,0.12
"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",entrées et plats composés,soupes,0.0,37.1,1.51,0.6,0.27,0.53,0.79,4.46,0.81,0.2,1.28,16.0,0.0,0.28,9.13,7.95,21.0,0.045,0.23,0.14
"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",entrées et plats composés,soupes,0.0,30.8,1.0,0.49,0.18,0.29,1.3,3.86,0.77,0.0,0.56,7.96,0.0,0.03,0.0,0.0,1.0,0.02,0.02,0.074
"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",entrées et plats composés,soupes,0.0,4.8,0.4,0.2,0.05,0.09,0.2,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.02
"Soupe à l'oignon, préemballée à réchauffer",entrées et plats composés,soupes,0.0,40.4,1.4,0.55,0.26,0.0,1.35,4.93,1.5,0.0,1.34,12.0,0.0,0.11,0.2,0.5,1.0,0.0,0.02,0.0
"Soupe aux champignons, préemballée à réchauffer",entrées et plats composés,soupes,0.0,48.2,3.07,1.58,0.96,0.4,0.81,4.09,0.91,0.0,0.52,7.0,0.1,0.24,9.6,0.0,5.5,0.0,0.007,0.072
"Soupe à la carotte, préemballée à réchauffer",entrées et plats composés,soupes,0.0,33.2,1.41,0.96,0.029,0.36,0.61,3.89,1.82,0.0,1.22,15.0,0.0,0.0,0.0,11.0,4.0,0.0,0.08,0.0
"Soupe à la tomate, préemballée à réchauffer",entrées et plats composés,soupes,0.0,38.7,0.99,0.36,0.3,0.29,0.74,6.27,2.95,0.2,0.88,11.0,0.6,0.69,1.01,6.4,21.0,0.01,0.2,0.2
"Soupe chorba frik, à base de viande et de frik",entrées et plats composés,soupes,0.0,62.9,2.5,0.0,0.0,0.0,3.75,5.4,0.9,0.0,1.9,19.0,0.02,0.6,0.0,3.2,4.4,0.11,0.07,0.18
"Soupe minestrone, préemballée à réchauffer",entrées et plats composés,soupes,0.0,48.8,2.0,0.6,0.29,0.34,1.2,5.6,1.7,0.0,1.8,33.3,0.0,0.67,3.2,1.25,0.0,0.0,0.071,0.22
"Soupe au pistou, déshydratée reconstituée",entrées et plats composés,soupes,0.0,30.4,0.35,0.2,0.06,0.23,1.2,5.2,1.2,0.0,0.8,19.0,0.0,0.2,0.0,7.0,0.0,0.0,0.07,0.0
"Soupe de poissons et / ou crustacés, déshydratée reconstituée",entrées et plats composés,soupes,0.0,29.0,0.5,0.14,0.0,0.0,0.91,5.09,1.06,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe asiatique, avec pâtes, déshydratée reconstituée",entrées et plats composés,soupes,0.0,29.8,0.44,0.17,0.0,0.0,0.97,5.25,1.21,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe marocaine, déshydratée reconstituée",entrées et plats composés,soupes,0.0,34.3,0.55,0.23,0.0,0.0,1.2,5.77,1.49,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",entrées et plats composés,soupes,0.0,26.1,0.41,0.2,0.0,0.0,0.63,4.84,0.91,0.0,0.28,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.27
"Soupe à la volaille et aux légumes, déshydratée reconstituée",entrées et plats composés,soupes,0.0,27.3,0.44,0.17,0.0,0.0,0.99,4.58,0.55,0.0,0.51,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.03,0.0
"Bouillon de boeuf, déshydraté reconstitué",entrées et plats composés,soupes,0.0,9.05,0.15,0.057,0.0072,0.068,0.6,1.33,0.33,0.0,0.0,5.25,0.0,0.01,0.0,0.0,0.0,0.065,0.0083,0.016
"Soupe aux asperges, déshydratée reconstituée",entrées et plats composés,soupes,0.0,35.3,1.31,0.73,0.0,0.0,0.6,5.14,0.99,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",entrées et plats composés,soupes,0.0,37.7,0.8,0.5,0.0,0.0,1.1,5.87,3.43,0.0,1.3,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
"Soupe aux céréales et aux légumes, déshydratée reconstituée",entrées et plats composés,soupes,0.0,47.8,1.4,0.8,0.0,0.0,1.4,6.8,1.2,0.0,1.2,12.5,0.0,0.0,0.0,3.84,0.0,0.0,0.07,0.0
"Soupe à la tomate, déshydratée reconstituée",entrées et plats composés,soupes,0.0,36.2,0.97,0.32,0.16,0.41,0.76,5.79,2.44,0.2,0.64,11.0,0.0,0.25,1.33,0.5,21.0,0.14,0.027,0.064
"Soupe aux champignons, déshydratée reconstituée",entrées et plats composés,soupes,0.0,37.8,1.79,0.73,0.15,0.6,0.65,4.37,0.63,0.2,0.82,10.0,0.25,0.24,0.8,0.5,21.0,0.028,0.033,0.16
"Soupe à l'oignon, déshydratée reconstituée",entrées et plats composés,soupes,0.0,24.0,0.4,0.23,0.0,0.0,0.58,4.37,1.3,0.0,0.31,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe au potiron, préemballée à réchauffer",entrées et plats composés,soupes,0.0,35.9,1.56,0.88,0.069,0.56,0.67,4.13,2.37,0.2,1.31,15.0,0.0,0.51,1.03,0.5,21.0,0.036,0.065,0.13
"Bouillon de volaille, déshydraté reconstitué",entrées et plats composés,soupes,0.0,5.58,0.13,0.083,0.018,0.022,0.6,0.5,0.18,0.0,0.0001,5.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.02
"Bouillon de légumes, déshydraté reconstitué",entrées et plats composés,soupes,0.0,5.38,0.16,0.14,0.0067,0.011,0.34,0.65,0.19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",entrées et plats composés,soupes,0.0,21.6,0.18,0.099,0.0,0.0,0.63,4.21,0.72,0.2,0.32,9.1,0.25,0.34,0.8,0.5,21.0,0.0,0.018,1.04
"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",entrées et plats composés,soupes,0.0,21.3,0.25,0.081,0.0,0.0,0.75,3.87,0.31,0.2,0.26,7.2,0.0,0.08,0.8,0.5,21.0,0.026,0.025,0.041
"Soupe au pistou, préemballée à réchauffer",entrées et plats composés,soupes,0.0,31.9,0.5,0.2,0.1,0.2,2.0,4.1,0.25,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe au potiron, déshydratée reconstituée",entrées et plats composés,soupes,0.0,38.3,1.24,0.61,0.0,0.0,0.79,5.61,2.64,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe asiatique, avec pâtes, préemballée à réchauffer",entrées et plats composés,soupes,0.0,22.3,0.5,0.2,0.0,0.0,0.7,3.4,0.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe minestrone, déshydratée reconstituée",entrées et plats composés,soupes,0.0,31.3,0.34,0.02,0.0,0.0,1.14,5.53,1.07,0.0,0.79,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.06,0.0
"Soupe au cresson, déshydratée reconstituée",entrées et plats composés,soupes,0.0,25.1,0.8,0.42,0.0,0.0,0.42,3.95,0.31,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe au cresson, préemballée à réchauffer",entrées et plats composés,soupes,0.0,34.0,0.8,0.5,0.0,0.0,1.0,5.4,0.9,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
"Soupe aux légumes avec fromage, préemballée à réchauffer",entrées et plats composés,soupes,0.0,50.2,2.51,1.58,0.0,0.0,1.34,5.09,1.62,0.0,0.93,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.3,0.0
"Soupe aux légumes verts, préemballée à réchauffer",entrées et plats composés,soupes,0.0,33.4,1.32,0.64,0.16,0.51,1.0,3.84,0.81,0.2,1.05,24.0,0.25,0.28,16.5,9.0,21.0,0.0,0.25,0.22
"Soupe aux légumes verts, déshydratée reconstituée",entrées et plats composés,soupes,0.0,34.8,1.07,0.71,0.075,0.23,0.72,5.31,1.07,0.2,0.54,12.0,0.25,0.18,2.82,6.15,21.0,0.0,0.033,0.072
"Soupe aux pois cassés, préemballée à réchauffer",entrées et plats composés,soupes,0.0,56.7,1.98,0.67,0.0,0.0,2.68,6.25,1.02,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Soupe froide type Gaspacho ou Gazpacho, préemballée",entrées et plats composés,soupes,0.0,32.8,1.62,0.27,0.16,0.0,0.65,3.38,2.32,0.2,1.04,11.0,0.25,1.31,52.6,1.98,0.0,0.0,0.041,0.093
"Soupe aux asperges, préemballée à réchauffer",entrées et plats composés,soupes,0.0,133.0,10.4,5.1,0.0,0.0,4.6,4.7,2.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soupe (aliment moyen),entrées et plats composés,soupes,0.0,37.4,1.37,0.57,0.18,0.54,1.27,4.5,1.6,0.15,1.02,27.8,0.0,0.48,6.98,5.04,15.2,0.24,0.1,0.23
"Soupe miso, déshydratée reconstituée",entrées et plats composés,soupes,0.0,17.1,0.5,0.0098,0.0098,0.0098,1.38,2.18,0.69,0.2,0.5,18.0,0.25,0.26,1.15,0.0,0.0,1.98,0.01,0.068
Tripes à la mode de Caen,entrées et plats composés,plats composés,plats de viande sans garniture,116.0,3.68,1.29,0.18,1.12,20.4,0.3,0.0,0.2,0.0,23.0,0.0,0.47,0.0,0.0,0.0,1.2,0.023,0.42
"Tripes à la mode de Caen, préemballées",entrées et plats composés,plats composés,plats de viande sans garniture,112.0,3.62,2.1,0.0,0.0,18.4,0.7,0.5,0.0,1.25,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tripes à la tomate ou à la provençale,entrées et plats composés,plats composés,plats de viande sans garniture,94.1,3.2,1.64,0.14,1.28,15.7,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blanquette de veau,entrées et plats composés,plats composés,plats de viande sans garniture,113.0,4.0,2.03,0.26,1.36,15.4,3.1,0.3,0.2,0.8,15.0,0.25,0.37,2.55,0.5,21.0,1.59,0.074,0.33
Boeuf bourguignon,entrées et plats composés,plats composés,plats de viande sans garniture,84.6,3.3,0.88,0.44,1.18,8.93,4.17,1.57,0.0,1.25,16.9,0.5,0.6,0.0,0.8,10.0,0.6,0.23,0.3
"Sauté d'agneau au curry, préemballé",entrées et plats composés,plats composés,plats de viande sans garniture,0.0,13.9,6.7,0.0,0.0,10.5,0.0,0.0,0.0,1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Canard en sauce (poivre vert, chasseur, etc.), préemballé",entrées et plats composés,plats composés,plats de viande sans garniture,145.0,7.3,0.0,0.0,0.0,9.55,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lapin à la moutarde, préemballé",entrées et plats composés,plats composés,plats de viande sans garniture,108.0,5.0,2.1,0.0,0.0,14.9,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coq au vin,entrées et plats composés,plats composés,plats de viande sans garniture,133.0,7.0,1.0,1.75,3.87,13.0,4.0,1.0,0.0,0.9,14.0,0.04,0.48,0.0,1.5,0.0,1.4,0.17,0.74
Paupiette de veau,entrées et plats composés,plats composés,plats de viande sans garniture,193.0,13.8,5.45,1.28,3.05,14.5,2.6,0.41,0.0,0.2,27.6,0.1,0.68,0.0,1.34,24.9,0.41,0.28,0.59
Paupiette de volaille,entrées et plats composés,plats composés,plats de viande sans garniture,164.0,3.4,0.65,0.81,1.63,23.9,8.8,0.0,0.0,1.17,27.6,0.14,0.69,0.0,1.33,26.1,0.28,0.31,0.56
Viande en sauce (aliment moyen),entrées et plats composés,plats composés,plats de viande sans garniture,104.0,4.6,1.8,0.63,1.51,11.3,3.65,1.34,0.0,1.08,17.1,0.23,0.81,0.0,1.27,12.1,0.74,0.16,0.42
Poulet au curry et au lait de coco,entrées et plats composés,plats composés,plats de viande sans garniture,124.0,6.9,3.03,1.37,2.06,10.6,3.15,1.49,0.22,1.1,18.0,0.25,1.65,3.22,2.51,21.3,0.15,0.17,0.62
"Meloukhia, plat à base de boeuf et corete, fait maison",entrées et plats composés,plats composés,plats de viande sans garniture,189.0,14.7,0.0,0.0,0.0,10.6,1.2,1.2,0.0,4.7,51.3,0.0,5.1,0.0,1.5,0.0,0.66,0.12,0.32
"Palette à la diable, préemballée",entrées et plats composés,plats composés,plats de viande sans garniture,120.0,6.07,2.2,0.0,0.0,13.5,2.08,1.38,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Langue de boeuf sauce madère, préemballée",entrées et plats composés,plats composés,plats de viande sans garniture,180.0,13.5,6.0,0.0,0.0,9.5,4.5,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Porc au caramel, préemballé",entrées et plats composés,plats composés,plats de viande sans garniture,136.0,5.4,1.44,1.27,2.2,10.0,11.4,7.9,0.2,0.7,9.9,0.25,0.62,1.5,0.5,21.0,0.27,0.094,0.31
"Boulettes au boeuf, à la sauce tomate, préemballées",entrées et plats composés,plats composés,plats de viande sans garniture,117.0,6.5,0.0,0.0,0.0,9.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Paupiette de veau, préemballée,  cuite au four",entrées et plats composés,plats composés,plats de viande sans garniture,276.0,20.5,8.19,2.51,8.77,22.0,0.48,0.3,0.2,0.9,24.0,0.25,0.08,0.87,1.62,21.0,1.61,0.22,0.59
"Carpaccio de boeuf, avec marinade",entrées et plats composés,plats composés,plats de viande sans garniture,271.0,23.0,7.38,4.0,10.0,15.2,0.55,0.5,0.0,0.36,112.0,0.38,3.18,0.0,5.87,23.6,2.04,0.27,0.28
Yakitori (brochettes japonaises grillées en sauce),entrées et plats composés,plats composés,plats de viande sans garniture,172.0,3.3,1.2,0.78,1.18,26.0,9.3,6.6,0.2,0.6,9.8,0.25,0.5,0.8,0.0,21.0,0.41,0.25,1.36
"Brochette de boeuf, cuite",entrées et plats composés,plats composés,plats de viande sans garniture,139.0,5.2,1.8,0.71,2.35,21.9,0.33,0.0,0.0,3.0,23.0,0.25,0.65,3.71,10.8,21.0,1.94,0.31,0.54
"Brochette de volaille, cuite",entrées et plats composés,plats composés,plats de viande sans garniture,137.0,4.0,1.02,0.99,1.69,23.1,1.39,0.0,0.0,3.0,13.0,0.25,0.74,2.41,8.49,21.0,0.7,0.47,1.71
"Hachis parmentier à la viande, préemballé",entrées et plats composés,plats composés,plats de viande et féculents,138.0,8.22,4.7,0.41,2.75,5.99,9.39,1.47,0.94,1.43,59.6,0.1,0.2,0.0,0.65,45.9,0.42,0.08,0.0
Couscous au mouton,entrées et plats composés,plats composés,plats de viande et féculents,149.0,7.2,0.0,0.0,0.0,8.31,12.2,1.38,0.0,1.3,31.6,0.14,0.4,0.0,5.0,0.0,0.5,0.11,0.3
"Couscous à la viande ou au poulet, préemballé, allégé",entrées et plats composés,plats composés,plats de viande et féculents,90.7,1.9,0.4,0.59,0.75,5.9,11.5,2.1,0.0,2.0,22.0,0.04,0.97,0.0,7.0,34.0,0.04,0.13,0.3
"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",entrées et plats composés,plats composés,plats de viande et féculents,168.0,9.6,2.9,2.64,3.67,3.2,16.2,1.7,0.2,2.1,26.0,0.25,1.49,3.13,3.04,21.0,0.15,0.15,0.41
"Couscous royal (avec plusieurs viandes), préemballé",entrées et plats composés,plats composés,plats de viande et féculents,132.0,4.53,1.54,0.6,2.14,7.69,14.0,1.57,0.1,2.1,25.2,0.0,0.4,0.0,1.69,10.6,0.28,0.15,0.3
Couscous au poulet,entrées et plats composés,plats composés,plats de viande et féculents,130.0,3.85,1.17,0.86,1.61,7.5,15.6,2.87,0.0,1.47,18.4,0.01,0.48,0.0,4.05,14.0,0.13,0.14,0.3
"Couscous à la viande, préemballé",entrées et plats composés,plats composés,plats de viande et féculents,128.0,4.73,1.24,0.63,1.54,7.59,12.5,1.97,0.1,2.53,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Parmentier de canard, préemballé",entrées et plats composés,plats composés,plats de viande et féculents,146.0,9.06,4.5,0.65,3.56,6.82,8.51,1.96,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Parmentier de canard, préemballé, cuit",entrées et plats composés,plats composés,plats de viande et féculents,168.0,10.2,4.7,1.02,3.89,7.0,10.5,1.7,1.7,1.2,39.0,0.25,0.08,1.59,0.5,37.7,0.61,0.11,0.55
"Cassoulet, appertisé",entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,129.0,5.77,2.07,0.8,2.63,8.06,9.41,1.06,0.0,3.55,45.7,0.5,0.18,0.0,2.94,3.5,0.12,0.091,0.16
"Choucroute garnie, préemballée",entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,109.0,8.06,3.22,0.96,3.45,5.06,2.8,0.66,0.0,2.71,27.1,0.0,0.25,0.0,9.09,0.0,0.0,0.02,0.0
"Petit salé ou saucisse aux lentilles, préemballé",entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,118.0,4.87,1.89,0.6,1.97,8.24,8.89,1.51,0.0,2.83,20.0,0.5,0.39,0.0,0.5,2.0,0.13,0.14,0.23
"Pot-au-feu, préemballé",entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,77.5,2.02,0.82,0.05,0.97,10.9,3.2,1.5,0.0,1.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boeuf aux carottes,entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,96.6,3.15,1.21,0.44,1.47,13.2,3.3,0.6,0.0,1.1,15.9,0.0,0.4,0.0,2.0,0.0,0.8,0.16,0.44
Potée auvergnate (chou et porc),entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,82.1,4.3,1.57,0.58,2.11,6.0,3.7,0.86,0.0,2.3,30.5,0.0,0.5,0.0,10.5,0.0,0.2,0.16,0.31
"Cassoulet au porc, appertisé",entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,132.0,6.3,2.2,0.0,0.0,8.3,8.6,1.8,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cassoulet au canard ou oie, appertisé",entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,161.0,7.86,2.43,0.88,2.61,10.5,10.1,1.09,0.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomate farcie,entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,122.0,9.67,3.24,1.08,4.16,5.49,2.0,0.88,0.3,2.31,18.4,0.1,1.1,0.0,7.0,10.0,0.0,0.07,0.0
"Chou farci, préemballé",entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,94.9,6.6,0.0,0.0,0.0,5.3,2.0,2.0,0.3,3.13,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chili con carne, préemballé",entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,118.0,3.35,1.13,0.32,1.39,7.13,13.0,2.58,0.0,3.56,32.8,0.5,0.88,4.6,2.25,2.0,0.35,0.15,0.16
Moussaka,entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,147.0,10.8,3.37,2.27,3.25,5.82,5.16,3.01,0.29,2.84,16.0,0.2,0.46,0.0,3.1,37.0,0.6,0.09,0.33
Navarin d'agneau aux légumes,entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,133.0,8.61,1.4,0.95,2.54,8.05,5.0,0.9,0.0,1.65,22.1,0.039,0.84,0.0,4.76,20.7,1.19,0.14,0.4
Tajine de mouton,entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,132.0,6.83,2.73,0.52,3.25,12.8,4.5,2.4,0.0,1.0,5.1,0.5,0.71,0.0,0.5,4.0,1.65,0.19,0.23
Osso buco,entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,96.7,4.08,0.8,0.39,2.62,11.2,3.5,1.1,0.0,0.6,13.7,0.0,0.53,0.0,2.4,0.0,0.38,0.19,0.25
"Poulet basquaise, préemballé",entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,107.0,6.4,1.7,0.0,0.0,9.3,2.5,2.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
